234,Skaffolder,Skaffolder,Code,"Code Generation, API Creation, Database Scaffolding",Text (Specs),Code,A low-code platform that generates full-stack code and APIs from a visual interface or template.,Paid,Developer,"Web, CLI",Multilingual,4.4,Low,90%,Fast,Software Architecture,https://skaffolder.com/,
235,PolyAI,PolyAI,Audio,"Voice Assistants, Conversational IVR, Customer Service","Audio, Text","Audio, Text","A platform for creating enterprise-grade, human-like voice assistants for customer service.",Paid,Enterprise,"API, SDK",Multilingual,4.8,Medium,96%,Fast,Customer Conversations,https://poly.ai/,
236,AdCreative.ai,AdCreative.ai,Image,"Ad Copy Generation, Banner Creation, Marketing Assets","Text, Image","Image, Text","An AI platform that generates conversion-focused ad creatives, banners, and marketing copy.",Paid,Beginner,"Web, API",Multilingual,4.7,High,85%,Fast,Ad Performance Data,https://www.adcreative.ai/,
237,Unreal Metahuman,Epic Games,Image,"3D Character Creation, Digital Humans, Animation","Image, 3D Scan",3D Model,"A cloud-based framework for creating high-fidelity, fully rigged digital humans for games and film.",Free,Intermediate,"Desktop App, Cloud",English,4.9,High,99%,Medium,"Human Anatomy, 3D Scans",https://www.unrealengine.com/metahuman,
238,Databricks Assistant,Databricks,Data,"Data Analysis, SQL Generation, Notebook Assistance","Text, Data","Code (SQL, Python)","An AI assistant within the Databricks platform that helps write code, analyze data, and fix errors.",Paid,Developer,Web,"English, SQL, Python",4.8,High,90%,Fast,"Code, Data Schemas",https://www.databricks.com/product/assistant,
239,Puzzle,Puzzle,Data,"Business Intelligence, Financial Analysis, Metrics Tracking",Financial Data,"Analytics, Charts",An AI-powered accounting and financial intelligence platform that provides real-time business metrics.,Paid,Enterprise,Web,English,4.6,Low,95%,Fast,Financial Statements,https://puzzle.io/,
240,Anyscale,Anyscale,Data,"Distributed Computing, Model Training, AI Scaling",Code (Python),Scaled Computation,"A fully managed platform for scaling AI and Python workloads, built by the creators of Ray.",Paid,Developer,"API, SDK",Python,4.7,Medium,N/A,Varies,Distributed Systems,https://www.anyscale.com/,
241,Snorkel AI,Snorkel AI,Data,"Data Labeling, Weak Supervision, Data Curation","Unlabeled Data, Rules",Labeled Data,A programmatic data development platform for labeling training data using weak supervision.,Paid,Enterprise,"Web, SDK",Python,4.5,Medium,90-97%,Medium,Unstructured Data,https://snorkel.ai/,
242,DeepL Write,DeepL,Text,"Pro Writing Assistant, Paraphrasing, Style Improvement",Text,Text,"An AI writing assistant from the makers of DeepL that improves phrasing, style, and grammar.",Freemium,Beginner,Web,"English, German",4.9,High,95%,Fast,Professional Writing,https://www.deepl.com/write,
243,Magic Studio,Magic Studio,Image,"Photo Editing, Object Removal, Background Generation",Image,Image,A suite of AI-powered photo editing tools for tasks like removing objects or swapping backgrounds.,Freemium,Beginner,"Web, Mobile App",N/A,4.6,Medium,90%,Fast,General Photography,https://magicstudio.com/,
244,HitPaw,HitPaw,Video,"Video Enhancement, Object Removal, Watermark Removal","Video, Image","Video, Image",A suite of AI-powered multimedia tools for enhancing video/photo quality and editing.,Paid,Beginner,Desktop App,Multilingual,4.5,High,88%,Medium,Video & Image Data,https://www.hitpaw.com/,
245,Make-A-Video,Meta,Video,"Text-to-Video, Video Generation",Text,Video,"A research project from Meta AI that generates short, silent video clips from text descriptions.",Not Public,N/A,N/A,English,N/A,High,70%,Slow,"Video, Image Datasets",https://make-a-video.github.io/,
246,Phenaki,Google,Video,"Text-to-Video, Storytelling, Long-form Video",Text (Prompts),Video,"A research model for generating minutes-long, coherent videos from a series of text prompts.",Not Public,N/A,N/A,English,N/A,High,75%,Slow,"Video, Text Datasets",https://phenaki.video/,
247,Coqui,Coqui,Audio,"Text-to-Speech, Voice Cloning, Generative Speech","Text, Audio",Audio,"An open-source, generative AI speech platform for creating realistic, emotive voices.",Open-Source,Developer,"API, SDK",Multilingual,4.7,Medium,94%,Fast,Speech & Voice Data,https://coqui.ai/,
248,Tome App,Tome,Automation,"Presentation Generation, Storytelling, Document Creation",Text,Presentation,"An AI-powered storytelling and presentation format for creating narratives with text, images, and video.",Freemium,Beginner,Web,Multilingual,4.8,High,85%,Fast,"Presentations, Docs",https://tome.app/,
249,Textio,Textio,Text,"Augmented Writing, Inclusive Language, Job Postings",Text,Text with Suggestions,An augmented writing platform that helps companies write more inclusive and effective job descriptions.,Paid,Enterprise,"Web, Plugin",English,4.6,Medium,95%,Fast,"HR, Job Postings",https://textio.com/,
250,UiPath,UiPath,Automation,"Robotic Process Automation (RPA), Business Automation","User Actions, Data",Automated Tasks,A leading enterprise platform for robotic process automation powered by AI and computer vision.,Paid,Enterprise,"Desktop App, API",Multilingual,4.6,High,99%,Varies,Business Processes,https://www.uipath.com/,
251,MOSTLY AI,MOSTLY AI,Data,"Synthetic Data Generation, Data Anonymization",Dataset,Synthetic Dataset,An AI platform for generating synthetic data that preserves statistical properties for privacy-safe analytics.,Paid,Enterprise,"Web, API",N/A,4.5,Low,99%,Medium,Tabular & Time-series Data,https://mostly.ai/,
252,Dataiku,Dataiku,Data,"End-to-End Data Science, MLOps, Data Analytics","Dataset, Code","Models, Analytics","An end-to-end platform for the design, deployment, and management of AI and analytics applications.",Paid,Enterprise,Web,Multilingual,4.7,High,N/A,Varies,Enterprise Data,https://www.dataiku.com/,
253,CodiumAI,CodiumAI,Code,"Test Generation, Code Analysis, Bug Detection",Code,Code (Tests),An AI-powered tool that analyzes code and generates meaningful tests to catch bugs before deployment.,Freemium,Developer,Plugin,Multilingual,4.9,High,90%,Fast,"Code, Test Suites",https://www.codium.ai/,
254,Mage,Mage,Data,"Low-code AI Tools, Predictive Modeling",Dataset,Predictions,A low-code AI platform for product developers to build and integrate predictive models into apps.,Paid,Developer,"API, SDK","Python, SQL",4.5,Low,90%,Medium,Product & User Data,https://www.mage.ai/,
255,Arria,Arria NLG,Text,"Natural Language Generation (NLG), Report Automation",Data (Structured),Text (Narrative),A Natural Language Generation platform that transforms structured data into written or spoken narrative.,Paid,Enterprise,"API, SDK",Multilingual,4.4,Low,98%,Fast,"Financial, BI Data",https://www.arria.com/,
256,Lightning AI,Lightning AI,Data,"Model Training, MLOps, AI App Development",Code (PyTorch),"Trained Model, App",A platform (built on PyTorch Lightning) for building and training production-ready AI models and apps.,Freemium,Developer,"API, SDK, CLI",Python,4.8,High,N/A,Varies,Deep Learning Models,https://lightning.ai/,
257,Airbyte,Airbyte,Data,"Data Integration, ELT, Data Pipeline","API, Database",Data,An open-source data integration platform for building ELT pipelines to consolidate data.,Open-Source,Developer,"API, CLI, Web",Python,4.7,High,99%,Varies,Data Engineering,https://airbyte.com/,
258,Fivetran,Fivetran,Data,"Data Integration, ELT, Data Replication","SaaS APIs, DBs",Data (Warehouse),An automated data movement platform that centralizes data from various sources into a warehouse.,Paid,Enterprise,"Web, API",N/A,4.6,High,99.90%,Fast,Data Connectors,https://www.fivetran.com/,
259,dbt (Data Build Tool),dbt Labs,Data,"Data Transformation, Data Modeling, Analytics","SQL, Data",Data (Transformed),A data transformation tool that enables data analysts and engineers to transform data in their warehouse.,Freemium,Developer,"CLI, Cloud",SQL,4.9,High,N/A,Fast,Data Warehousing,https://www.getdbt.com/,
260,KNIME,KNIME,Data,"Data Analytics, Visual Workflow, ETL",Dataset,"Analytics, Reports",An open-source platform for creating data science applications and services with a visual workflow editor.,Open-Source,Intermediate,Desktop App,N/A,4.6,Medium,N/A,Medium,Data Science,https://www.knime.com/,
261,Alteryx,Alteryx,Data,"Data Analytics, Data Blending, Process Automation",Dataset,"Analytics, Reports","An analytics automation platform for data preparation, blending, and advanced analytics.",Paid,Enterprise,Desktop App,N/A,4.6,High,N/A,Medium,Business Analytics,https://www.alteryx.com/,
262,ThoughtSpot,ThoughtSpot,Data,"Business Intelligence, Search-based Analytics",Data,"Charts, Insights",An AI-powered analytics platform that allows users to get insights from data using natural language search.,Paid,Enterprise,"Web, API",English,4.5,Medium,90%,Fast,Business Intelligence,https://www.thoughtspot.com/,
263,Domino Data Lab,Domino Data Lab,Data,"MLOps, Model Management, Data Science Platform","Code, Data","Models, Results",An enterprise MLOps platform for centralizing data science work and infrastructure.,Paid,Enterprise,"Web, API, SDK","Python, R",4.5,Medium,N/A,Varies,Enterprise Data Science,https://www.dominodatalab.com/,
264,C3 AI,C3 AI,Data,"Enterprise AI, Predictive Analytics, AI Applications",Enterprise Data,"Predictions, Apps","An enterprise AI platform for developing, deploying, and operating large-scale AI applications.",Paid,Enterprise,"Web, API",N/A,4.3,Medium,N/A,Varies,"Industrial, Enterprise Data",https://c3.ai/,
265,BigQuery ML,Google Cloud,Data,"In-database ML, Predictive Modeling","SQL, Data",ML Model,A feature of Google BigQuery that allows users to create and execute ML models using SQL queries.,Paid,Developer,API (SQL),SQL,4.7,High,N/A,Medium,BigQuery Data,https://cloud.google.com/bigquery-ml,
266,Amazon SageMaker,AWS,Data,"End-to-End ML, Model Training, MLOps","Data, Code",ML Model,"A fully managed service for building, training, and deploying machine learning models at scale.",Paid,Developer,"API, SDK, Web",4.6,High,N/A,Varies,General Machine Learning,https://aws.amazon.com/sagemaker/,,
267,Jenkins,CloudBees,Automation,"CI/CD, Build Automation, Deployment",Code,Software Build,"An open-source automation server for building, testing, and deploying software (CI/CD).",Open-Source,Developer,"Web, Plugin",N/A,4.5,High,N/A,Varies,Software Development,https://www.jenkins.io/,
268,Terraform,HashiCorp,Automation,"Infrastructure as Code (IaC), Provisioning",Code (HCL),Cloud Infrastructure,"An IaC tool for building, changing, and versioning infrastructure safely and efficiently.",Open-Source,Developer,CLI,HCL,4.8,High,N/A,Varies,Cloud Infrastructure,https://www.terraform.io/,
269,Ansible,Red Hat,Automation,"Configuration Management, App Deployment",Code (YAML),System Configuration,"An open-source automation tool for configuration management, application deployment, and task automation.",Open-Source,Developer,CLI,YAML,4.6,High,N/A,Varies,IT Infrastructure,https://www.ansible.com/,
270,Puppet,Puppet,Automation,"Configuration Management, Compliance",Code (Puppet DSL),System Configuration,An automation tool for managing and automating infrastructure and application delivery.,Freemium,Developer,"CLI, Web",Puppet DSL,4.4,Medium,N/A,Varies,IT Infrastructure,https://www.puppet.com/,
271,Chef,Progress,Automation,"Infrastructure Automation, Compliance",Code (Ruby),System Configuration,An automation platform for transforming infrastructure into code for speed and consistency.,Freemium,Developer,"CLI, Web",Ruby,4.4,Medium,N/A,Varies,IT Infrastructure,https://www.chef.io/,
272,Airflow,Apache,Automation,"Workflow Orchestration, Data Pipeline Scheduling",Code (Python),Scheduled Tasks,"An open-source platform to programmatically author, schedule, and monitor workflows.",Open-Source,Developer,"CLI, Web",Python,4.7,High,N/A,Varies,Data Engineering,https://airflow.apache.org/,
273,Workato,Workato,Automation,"iPaaS, Workflow Automation, API Integration","Events, Data",Automated Workflows,An enterprise automation platform for integrating apps and automating business workflows.,Paid,Enterprise,"Web, API",N/A,4.7,High,N/A,Fast,Business Processes,https://www.workato.com/,
274,Celigo,Celigo,Automation,"iPaaS, E-commerce Automation, API Integration","Events, Data",Automated Workflows,An integration platform (iPaaS) for automating business processes across applications.,Paid,Enterprise,"Web, API",N/A,4.6,Medium,N/A,Fast,"E-commerce, Business Ops",https://www.celigo.com/,
275,Make (Integromat),Celonis,Automation,"No-code Automation, Workflow Building","Events, Data",Automated Workflows,"A visual platform that lets you design, build, and automate anything from tasks to workflows.",Freemium,Beginner,"Web, API",N/A,4.8,High,N/A,Fast,Web Applications,https://www.make.com/,
276,n8n,n8n,Automation,"Fair-code Automation, Workflow Orchestration","Events, Data",Automated Workflows,A free and open fair-code licensed workflow automation tool for developers and tech-savvy users.,Freemium,Intermediate,"Web, Desktop App",N/A,4.9,High,N/A,Fast,Web Applications,https://n8n.io/,
277,Playwright,Microsoft,Code,"Browser Automation, End-to-End Testing",Code,Test Results,An open-source framework for reliable end-to-end testing and browser automation.,Open-Source,Developer,Library,"JS, Python, Java, .NET",4.9,High,N/A,Fast,Web Browsers,https://playwright.dev/,
